ID,time,DRUG_CENTRAL,DRUG_CARTRIDGE,Vadd,C_DRUG_CENTRAL,C_DRUG_CARTRIDGE
1,658,139.56031291320116,34.91335160115305,5.34090863311895e-23,0.6978015645660058,0.6982670320230611
1,659,139.33721597063516,34.85754016135693,5.521322199176778e-23,0.6966860798531758,0.6971508032271386
1,660,139.1144756643227,34.80181794011316,5.701032760244289e-23,0.6955723783216134,0.6960363588022632
1,661,138.89209142412975,34.74618479479462,5.879805660052379e-23,0.6944604571206487,0.6949236958958924
1,662,138.67006268083068,34.69064058300146,6.057401852368498e-23,0.6933503134041534,0.6938128116600292
1,663,138.44838886610643,34.6351851625607,6.233577900996682e-23,0.6922419443305321,0.692703703251214
1,664,138.22706941254307,34.57981839152585,6.408085979777597e-23,0.6911353470627154,0.6915963678305169
1,665,138.00610375363019,34.52454012817649,6.580673872588576e-23,0.6900305187681509,0.6904908025635298
1,666,137.78549132375917,34.46935023101789,6.751084973343661e-23,0.6889274566187958,0.6893870046203578
1,667,137.56523155822177,34.41424855878062,6.919058285993637e-23,0.6878261577911089,0.6882849711756124
1,668,137.34532389320844,34.359234970420104,7.08432842452608e-23,0.6867266194660422,0.6871846994084021
1,669,137.12576776580676,34.304309325116286,7.246625612965385e-23,0.6856288388290338,0.6860861865023257
1,670,136.9065626139997,34.249471482273194,7.405675685372811e-23,0.6845328130699986,0.6849894296454638
1,671,136.68770787666435,34.19472130151854,7.561200085846522e-23,0.6834385393833218,0.6838944260303709
1,672,136.46920299356995,34.140058642703345,7.712915868521622e-23,0.6823460149678497,0.6828011728540669
1,673,136.25104740537654,34.085483365901524,7.860535697570197e-23,0.6812552370268827,0.6817096673180305
1,674,136.0332405536333,34.03099533140948,8.003767847201354e-23,0.6801662027681665,0.6806199066281896
1,675,135.81578188077694,33.97659439974574,8.142316201661254e-23,0.6790789094038847,0.6795318879949148
1,676,135.59867083013015,33.92228043165052,8.275880255233162e-23,0.6779933541506508,0.6784456086330104
1,677,135.3819068458999,33.86805328808534,8.404155112237478e-23,0.6769095342294995,0.6773610657617068
1,678,135.16548937317597,33.81391283023264,8.526831487031778e-23,0.6758274468658798,0.6762782566046528
1,679,134.94941785792932,33.759858919495365,8.643595704010853e-23,0.6747470892896466,0.6751971783899073
