ID,time,DRUG_A_CENTRAL,DRUG_A_CARTRIDGE,DRUG_B_EXTRA,DRUG_B_CENTRAL,DRUG_B_CARTRIDGE,Vadd_A_Central,Vadd_B_Central,Vadd_B_Extra,C_DRUG_A_CENTRAL,C_DRUG_A_CARTRIDGE,C_DRUG_B_EXTRA,C_DRUG_B_CENTRAL,C_DRUG_B_CARTRIDGE,Ve,Vc,V3
1,359,225.16912045796147,56.329829797505106,0,90.0676481831847,22.531931919002037,0,-1.1765092926327433e-28,0,1.1258456022898073,1.126596595950102,0,0.4503382409159235,0.45063863838004076,1,200,50
1,360,224.80917182791907,56.239782614192876,0,89.92366873116774,22.495913045677142,0,-1.2861525831627435e-28,0,1.1240458591395954,1.1247956522838576,0,0.4496183436558387,0.4499182609135428,1,200,50
1,361,224.44979859839535,56.149879376965345,0,89.77991943935825,22.45995175078612,0,-1.4009004549585298e-28,0,1.1222489929919768,1.1229975875393068,0,0.4488995971967913,0.44919903501572245,1,200,50
1,362,224.0909998492095,56.060119855623846,0,89.63639993968393,22.42404794224952,0,-1.5209160791239381e-28,0,1.1204549992460475,1.121202397112477,0,0.44818199969841965,0.4484809588449904,1,200,50
1,363,223.73277466163367,55.970503820333214,0,89.4931098646536,22.38820152813326,0,-1.6463657638040998e-28,0,1.1186638733081684,1.1194100764066643,0,0.44746554932326804,0.44776403056266517,1,200,50
1,364,223.3751221183901,55.88103104162103,0,89.35004884735618,22.352412416648377,0,-1.7774189815791877e-28,0,1.1168756105919504,1.1176206208324206,0,0.4467502442367809,0.4470482483329675,1,200,50
1,365,223.01804130364835,55.79170129037698,0,89.2072165214595,22.31668051615075,0,-1.9142483968581603e-28,0,1.1150902065182418,1.1158340258075397,0,0.4460360826072975,0.446333610323015,1,200,50
1,366,222.66153132116133,55.70251434238981,0,89.0646125284647,22.281005736955876,0,-2.057029893272506e-28,0,1.1133076566058067,1.1140502868477962,0,0.4453230626423235,0.4456201147391175,1,200,50
1,367,222.3055912720929,55.61346997280059,0,88.92223650883734,22.245387989120182,0,-2.205942601069995e-28,0,1.1115279563604645,1.1122693994560118,0,0.44461118254418674,0.44490775978240366,1,200,50
1,368,221.95022021908756,55.52456794711414,0,88.78008808763522,22.209827178845604,0,-2.36116892450841e-28,0,1.1097511010954377,1.110491358942283,0,0.4439004404381761,0.4441965435769121,1,200,50
1,369,221.59541725248624,55.43580803776399,0,88.63816690099469,22.17432321510554,0,-2.5228945692493075e-28,0,1.1079770862624312,1.1087161607552798,0,0.44319083450497343,0.4434864643021108,1,200,50
1,370,221.24118146407747,55.347190017545834,0,88.4964725856312,22.138876007018276,0,-2.6913085697517564e-28,0,1.1062059073203874,1.1069438003509167,0,0.44248236292815596,0.44277752014036553,1,200,50
1,371,220.8875119470951,55.25871365961691,0,88.35500477883825,22.1034854638467,0,-2.8666033166660736e-28,0,1.1044375597354756,1.1051742731923382,0,0.44177502389419127,0.44206970927693395,1,200,50
1,372,220.53440779621556,55.17037873749534,0,88.21376311848644,22.068151494998073,0,-3.0489745842275877e-28,0,1.1026720389810778,1.1034075747499068,0,0.4410688155924322,0.44136302989996146,1,200,50
1,373,220.18186810755543,55.08218502505955,0,88.07274724302239,22.032874010023754,0,-3.238621557650371e-28,0,1.1009093405377772,1.101643700501191,0,0.44036373621511193,0.44065748020047507,1,200,50
1,374,219.8298919786688,54.994132296547576,0,87.93195679146774,21.997652918618957,0,-3.435746860520987e-28,0,1.099149459893344,1.0998826459309514,0,0.4396597839573387,0.43995305837237914,1,200,50
1,375,219.47847850854487,54.906220326556436,0,87.79139140341817,21.9624881306225,0,-3.6405565821922368e-28,0,1.0973923925427242,1.0981244065311286,0,0.43895695701709087,0.43924976261245,1,200,50
1,376,219.1276267976052,54.81844889004153,0,87.6510507190423,21.927379556016533,0,-3.8532603051769082e-28,0,1.095638133988026,1.0963689778008305,0,0.4382552535952115,0.43854759112033065,1,200,50
1,377,218.77733594770132,54.73081776231596,0,87.51093437908075,21.892327104926302,0,-4.074071132541509e-28,0,1.0938866797385065,1.094616355246319,0,0.43755467189540376,0.437846542098526,1,200,50
1,378,218.42760506211215,54.64332671904991,0,87.3710420248451,21.85733068761988,0,-4.303205715300027e-28,0,1.0921380253105608,1.0928665343809982,0,0.43685521012422546,0.43714661375239755,1,200,50
1,379,218.07843324554148,54.55597553627001,0,87.23137329821684,21.822390214507923,0,-4.540884279807666e-28,0,1.0903921662277074,1.0911195107254001,0,0.4361568664910842,0.43644780429015845,1,200,50
1,380,217.72981960411528,54.468763990358724,0,87.09192784164635,21.787505596143404,0,-4.78733065515459e-28,0,1.0886490980205763,1.0893752798071745,0,0.4354596392082318,0.4357501119228681,1,200,50
1,381,217.38176324537935,54.38169185805364,0,86.95270529815198,21.752676743221368,0,-5.042772300559675e-28,0,1.0869088162268967,1.0876338371610728,0,0.4347635264907599,0.4350535348644274,1,200,50
1,382,217.0342632782966,54.29475891644692,0,86.81370531131888,21.71790356657868,0,-5.30744033276425e-28,0,1.0851713163914831,1.0858951783289386,0,0.43406852655659445,0.4343580713315736,1,200,50
1,383,216.68731881324467,54.20796494298461,0,86.67492752529812,21.683185977193755,0,-5.581569553425841e-28,0,1.0834365940662234,1.0841592988596922,0,0.4333746376264906,0.4336637195438751,1,200,50
1,384,216.34092896201327,54.121309715466005,0,86.53637158480555,21.64852388618631,0,-5.865398476511918e-28,0,1.0817046448100662,1.08242619430932,0,0.43268185792402775,0.4329704777237262,1,200,50
